time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-10-02 00:00:00+00:00,30.0,21.0,4,4
2022-10-03 00:00:00+00:00,29.0,22.0,16,5
2022-10-04 00:00:00+00:00,24.0,22.0,15,4
2022-10-05 00:00:00+00:00,28.0,21.0,23,5
2022-10-06 00:00:00+00:00,30.0,21.0,31,7
2022-10-07 00:00:00+00:00,25.0,22.0,1,1
2022-10-08 00:00:00+00:00,34.0,23.0,41,4
2022-10-09 00:00:00+00:00,33.0,23.0,3,1
2022-10-10 00:00:00+00:00,29.0,24.0,9,5
2022-10-11 00:00:00+00:00,23.0,20.0,11,4
2022-10-12 00:00:00+00:00,25.0,21.0,7,5
2022-10-13 00:00:00+00:00,29.0,24.0,5,4
2022-10-14 00:00:00+00:00,32.0,21.0,10,3
2022-10-15 00:00:00+00:00,29.0,22.0,5,4
2022-10-16 00:00:00+00:00,,,1,1
