url_path,views_total,views_unique
/Luois45/claim-free-steam-packages,55,43
/Luois45/claim-free-steam-packages/releases/tag/v1.4.3,14,12
/Luois45/claim-free-steam-packages/blob/auto-update/package_list.txt,7,6
/Luois45/claim-free-steam-packages/blob/main/docs/instructions-for-users-with-many-packages.md,6,3
/Luois45/claim-free-steam-packages/issues,5,2
/Luois45/claim-free-steam-packages/blob/main/package_list.txt,3,3
/Luois45/claim-free-steam-packages/issues/166,3,3
/Luois45/claim-free-steam-packages/commits/main,2,2
/Luois45/claim-free-steam-packages/tree/auto-update,2,2
/Luois45/claim-free-steam-packages/branches,2,1
