time_iso8601,stars_cumulative
2022-02-04 00:00:00+00:00,1
2022-02-13 00:00:00+00:00,2
2022-02-27 00:00:00+00:00,3
2022-03-06 00:00:00+00:00,4
2022-03-17 00:00:00+00:00,5
2022-03-27 00:00:00+00:00,6
2022-04-06 00:00:00+00:00,7
2022-04-07 00:00:00+00:00,8
2022-04-11 00:00:00+00:00,9
2022-04-18 00:00:00+00:00,10
2022-04-21 00:00:00+00:00,11
2022-04-23 00:00:00+00:00,12
2022-05-10 00:00:00+00:00,13
2022-06-11 00:00:00+00:00,15
2022-06-12 00:00:00+00:00,16
2022-06-21 00:00:00+00:00,17
2022-06-26 00:00:00+00:00,18
2022-06-27 00:00:00+00:00,19
2022-07-04 00:00:00+00:00,20
2022-07-05 00:00:00+00:00,21
2022-07-21 00:00:00+00:00,22
2022-08-01 00:00:00+00:00,24
2022-08-07 00:00:00+00:00,25
2022-08-25 00:00:00+00:00,26
2022-09-08 00:00:00+00:00,27
2022-09-11 00:00:00+00:00,28
2022-09-18 00:00:00+00:00,29
2022-10-10 00:00:00+00:00,30
2022-10-16 00:00:00+00:00,31
2022-11-04 00:00:00+00:00,32
2022-11-08 00:00:00+00:00,33
2022-11-09 00:00:00+00:00,34
2022-11-11 00:00:00+00:00,35
2022-11-27 00:00:00+00:00,36
2022-11-28 00:00:00+00:00,37
2022-12-06 00:00:00+00:00,38
2022-12-13 00:00:00+00:00,39
2022-12-31 00:00:00+00:00,40
2023-01-31 00:00:00+00:00,41
